ip_address,country_code,country,city,latitude,longitude,mystery_value
200.106.141.15,SI,Nepal,DuBuquemouth,-84.87503094689836,7.206435933364332,7823011346
218.119.112.54,VA,Iceland,Gavinshire,23.554821245315708,-24.978121154412634,7309672297
160.103.7.140,CZ,Nicaragua,New Neva,-68.31023296602508,-37.62435199624531,7301823115
70.95.73.73,TL,Saudi Arabia,Gradymouth,-49.16675918861615,-86.05920084416894,2559997162
,PY,Falkland Islands (Malvinas),,75.41685191518815,-144.6943217219469,0
125.159.20.54,LI,Guyana,Port Karson,-78.2274228596799,-163.26218895343357,1337885276
31.185.249.104,TJ,Swaziland,New Rodrick,-9.819692971081892,48.19629305170949,4150731611
144.116.254.249,,,,0,0,8050339844
73.178.254.104,,,,0,0,4208175604
156.224.222.114,AW,Western Sahara,East Nicholasview,,,0
